Week,L,M,S,gender,percentile,weight
0,0.3487,3.3464,0.14602,boys,P01,2
1,0.2776,3.4879,0.14483,boys,P01,2.2
2,0.2581,3.7529,0.14142,boys,P01,2.4
3,0.2442,4.0603,0.13807,boys,P01,2.6
4,0.2331,4.3671,0.13497,boys,P01,2.8
5,0.2237,4.659,0.13215,boys,P01,3
6,0.2155,4.9303,0.1296,boys,P01,3.2
7,0.2081,5.1817,0.12729,boys,P01,3.4
8,0.2014,5.4149,0.1252,boys,P01,3.6
9,0.1952,5.6319,0.1233,boys,P01,3.8
10,0.1894,5.8346,0.12157,boys,P01,4
11,0.184,6.0242000000000004,0.12001,boys,P01,4.1
12,0.1789,6.2019,0.1186,boys,P01,4.2
13,0.174,6.369,0.11732,boys,P01,4.4
0,0.3809,3.2322,0.14171,girls,P01,2
1,0.2671,3.3388,0.146,girls,P01,2.1
2,0.2304,3.5693,0.14339,girls,P01,2.2
3,0.2024,3.8352,0.1406,girls,P01,2.4
4,0.1789,4.0987,0.13805,girls,P01,2.6
5,0.1582,4.3476,0.13583,girls,P01,2.8
6,0.1395,4.5793,0.13392,girls,P01,3
7,0.1224,4.795,0.13228,girls,P01,3.2
8,0.1065,4.9959,0.13087,girls,P01,3.3
9,0.0918,5.1842,0.12966,girls,P01,3.4
10,0.0779,5.3618,0.12861,girls,P01,3.6
11,0.0648,5.5295,0.1277,girls,P01,3.7
12,0.0525,5.6883,0.12691,girls,P01,3.8
13,0.0407,5.8393,0.12622,girls,P01,3.9
0,0.3487,3.3464,0.14602,boys,P1,2.3
1,0.2776,3.4879,0.14483,boys,P1,2.4
2,0.2581,3.7529,0.14142,boys,P1,2.7
3,0.2442,4.0603,0.13807,boys,P1,2.9
4,0.2331,4.3671,0.13497,boys,P1,3.2
5,0.2237,4.659,0.13215,boys,P1,3.4
6,0.2155,4.9303,0.1296,boys,P1,3.6
7,0.2081,5.1817,0.12729,boys,P1,3.8
8,0.2014,5.4149,0.1252,boys,P1,4
9,0.1952,5.6319,0.1233,boys,P1,4.2
10,0.1894,5.8346,0.12157,boys,P1,4.4
11,0.184,6.0242000000000004,0.12001,boys,P1,4.5
12,0.1789,6.2019,0.1186,boys,P1,4.7
13,0.174,6.369,0.11732,boys,P1,4.8
0,0.3809,3.2322,0.14171,girls,P1,2.3
1,0.2671,3.3388,0.146,girls,P1,2.3
2,0.2304,3.5693,0.14339,girls,P1,2.5
3,0.2024,3.8352,0.1406,girls,P1,2.7
4,0.1789,4.0987,0.13805,girls,P1,2.9
5,0.1582,4.3476,0.13583,girls,P1,3.1
6,0.1395,4.5793,0.13392,girls,P1,3.3
7,0.1224,4.795,0.13228,girls,P1,3.5
8,0.1065,4.9959,0.13087,girls,P1,3.7
9,0.0918,5.1842,0.12966,girls,P1,3.8
10,0.0779,5.3618,0.12861,girls,P1,4
11,0.0648,5.5295,0.1277,girls,P1,4.1
12,0.0525,5.6883,0.12691,girls,P1,4.2
13,0.0407,5.8393,0.12622,girls,P1,4.3
0,0.3487,3.3464,0.14602,boys,P3,2.5
1,0.2776,3.4879,0.14483,boys,P3,2.6
2,0.2581,3.7529,0.14142,boys,P3,2.8
3,0.2442,4.0603,0.13807,boys,P3,3.1
4,0.2331,4.3671,0.13497,boys,P3,3.4
5,0.2237,4.659,0.13215,boys,P3,3.6
6,0.2155,4.9303,0.1296,boys,P3,3.8
7,0.2081,5.1817,0.12729,boys,P3,4.1
8,0.2014,5.4149,0.1252,boys,P3,4.3
9,0.1952,5.6319,0.1233,boys,P3,4.4
10,0.1894,5.8346,0.12157,boys,P3,4.6
11,0.184,6.0242000000000004,0.12001,boys,P3,4.8
12,0.1789,6.2019,0.1186,boys,P3,4.9
13,0.174,6.369,0.11732,boys,P3,5.1
0,0.3809,3.2322,0.14171,girls,P3,2.4
1,0.2671,3.3388,0.146,girls,P3,2.5
2,0.2304,3.5693,0.14339,girls,P3,2.7
3,0.2024,3.8352,0.1406,girls,P3,2.9
4,0.1789,4.0987,0.13805,girls,P3,3.1
5,0.1582,4.3476,0.13583,girls,P3,3.3
6,0.1395,4.5793,0.13392,girls,P3,3.5
7,0.1224,4.795,0.13228,girls,P3,3.7
8,0.1065,4.9959,0.13087,girls,P3,3.9
9,0.0918,5.1842,0.12966,girls,P3,4.1
10,0.0779,5.3618,0.12861,girls,P3,4.2
11,0.0648,5.5295,0.1277,girls,P3,4.3
12,0.0525,5.6883,0.12691,girls,P3,4.5
13,0.0407,5.8393,0.12622,girls,P3,4.6
0,0.3487,3.3464,0.14602,boys,P5,2.6
1,0.2776,3.4879,0.14483,boys,P5,2.7
2,0.2581,3.7529,0.14142,boys,P5,3
3,0.2442,4.0603,0.13807,boys,P5,3.2
4,0.2331,4.3671,0.13497,boys,P5,3.5
5,0.2237,4.659,0.13215,boys,P5,3.7
6,0.2155,4.9303,0.1296,boys,P5,4
7,0.2081,5.1817,0.12729,boys,P5,4.2
8,0.2014,5.4149,0.1252,boys,P5,4.4
9,0.1952,5.6319,0.1233,boys,P5,4.6
10,0.1894,5.8346,0.12157,boys,P5,4.8
11,0.184,6.0242000000000004,0.12001,boys,P5,4.9
12,0.1789,6.2019,0.1186,boys,P5,5.1
13,0.174,6.369,0.11732,boys,P5,5.2
0,0.3809,3.2322,0.14171,girls,P5,2.5
1,0.2671,3.3388,0.146,girls,P5,2.6
2,0.2304,3.5693,0.14339,girls,P5,2.8
3,0.2024,3.8352,0.1406,girls,P5,3
4,0.1789,4.0987,0.13805,girls,P5,3.3
5,0.1582,4.3476,0.13583,girls,P5,3.5
6,0.1395,4.5793,0.13392,girls,P5,3.7
7,0.1224,4.795,0.13228,girls,P5,3.8
8,0.1065,4.9959,0.13087,girls,P5,4
9,0.0918,5.1842,0.12966,girls,P5,4.2
10,0.0779,5.3618,0.12861,girls,P5,4.3
11,0.0648,5.5295,0.1277,girls,P5,4.5
12,0.0525,5.6883,0.12691,girls,P5,4.6
13,0.0407,5.8393,0.12622,girls,P5,4.7
0,0.3487,3.3464,0.14602,boys,P10,2.8
1,0.2776,3.4879,0.14483,boys,P10,2.9
2,0.2581,3.7529,0.14142,boys,P10,3.1
3,0.2442,4.0603,0.13807,boys,P10,3.4
4,0.2331,4.3671,0.13497,boys,P10,3.7
5,0.2237,4.659,0.13215,boys,P10,3.9
6,0.2155,4.9303,0.1296,boys,P10,4.2
7,0.2081,5.1817,0.12729,boys,P10,4.4
8,0.2014,5.4149,0.1252,boys,P10,4.6
9,0.1952,5.6319,0.1233,boys,P10,4.8
10,0.1894,5.8346,0.12157,boys,P10,5
11,0.184,6.0242000000000004,0.12001,boys,P10,5.2
12,0.1789,6.2019,0.1186,boys,P10,5.3
13,0.174,6.369,0.11732,boys,P10,5.5
0,0.3809,3.2322,0.14171,girls,P10,2.7
1,0.2671,3.3388,0.146,girls,P10,2.8
2,0.2304,3.5693,0.14339,girls,P10,3
3,0.2024,3.8352,0.1406,girls,P10,3.2
4,0.1789,4.0987,0.13805,girls,P10,3.4
5,0.1582,4.3476,0.13583,girls,P10,3.6
6,0.1395,4.5793,0.13392,girls,P10,3.8
7,0.1224,4.795,0.13228,girls,P10,4
8,0.1065,4.9959,0.13087,girls,P10,4.2
9,0.0918,5.1842,0.12966,girls,P10,4.4
10,0.0779,5.3618,0.12861,girls,P10,4.5
11,0.0648,5.5295,0.1277,girls,P10,4.7
12,0.0525,5.6883,0.12691,girls,P10,4.8
13,0.0407,5.8393,0.12622,girls,P10,5
0,0.3487,3.3464,0.14602,boys,P15,2.9
1,0.2776,3.4879,0.14483,boys,P15,3
2,0.2581,3.7529,0.14142,boys,P15,3.2
3,0.2442,4.0603,0.13807,boys,P15,3.5
4,0.2331,4.3671,0.13497,boys,P15,3.8
5,0.2237,4.659,0.13215,boys,P15,4.1
6,0.2155,4.9303,0.1296,boys,P15,4.3
7,0.2081,5.1817,0.12729,boys,P15,4.5
8,0.2014,5.4149,0.1252,boys,P15,4.7
9,0.1952,5.6319,0.1233,boys,P15,4.9
10,0.1894,5.8346,0.12157,boys,P15,5.1
11,0.184,6.0242000000000004,0.12001,boys,P15,5.3
12,0.1789,6.2019,0.1186,boys,P15,5.5
13,0.174,6.369,0.11732,boys,P15,5.6
0,0.3809,3.2322,0.14171,girls,P15,2.8
