Month,L,M,S,gender,percentile,weight
0,0.3487,3.3464,0.14602,boys,P01,2
1,0.2297,4.4709,0.13395,boys,P01,2.9
2,0.197,5.5675,0.12385,boys,P01,3.7
3,0.1738,6.3762,0.11727,boys,P01,4.4
4,0.1553,7.0023,0.11316,boys,P01,4.9
5,0.1395,7.5105,0.1108,boys,P01,5.3
6,0.1257,7.934,0.10958,boys,P01,5.6
7,0.1134,8.297,0.10902,boys,P01,5.9
8,0.1021,8.6151,0.10882,boys,P01,6.1
9,0.0917,8.9014,0.10881,boys,P01,6.3
10,0.082,9.1649,0.10891,boys,P01,6.5
11,0.073,9.4122,0.10906,boys,P01,6.7
12,0.0644,9.6479,0.10925,boys,P01,6.9
13,0.0563,9.8749,0.10949,boys,P01,7
14,0.0487,10.0953,0.10976,boys,P01,7.2
15,0.0413,10.3108,0.11007,boys,P01,7.3
16,0.0343,10.5228,0.11041,boys,P01,7.5
17,0.0275,10.7319,0.11079,boys,P01,7.6
18,0.0211,10.9385,0.11119,boys,P01,7.7
19,0.0148,11.143,0.11164,boys,P01,7.9
20,0.0087,11.3462,0.11211,boys,P01,8
21,0.0029,11.5486,0.11261,boys,P01,8.2
22,-0.0028,11.7504,0.11314,boys,P01,8.3
23,-0.0083,11.9514,0.11369,boys,P01,8.4
24,-0.0137,12.1515,0.11426,boys,P01,8.5
25,-0.0189,12.3502,0.11485,boys,P01,8.7
26,-0.024,12.5466,0.11544,boys,P01,8.8
27,-0.0289,12.7401,0.11604,boys,P01,8.9
28,-0.0337,12.9303,0.11664,boys,P01,9
29,-0.0385,13.1169,0.11723,boys,P01,9.2
30,-0.0431,13.3,0.11781,boys,P01,9.3
31,-0.0476,13.4798,0.11839,boys,P01,9.4
32,-0.052,13.6567,0.11896,boys,P01,9.5
33,-0.0564,13.8309,0.11953,boys,P01,9.6
34,-0.0606,14.0031,0.12008,boys,P01,9.7
35,-0.0648,14.1736,0.12062,boys,P01,9.8
36,-0.0689,14.3429,0.12116,boys,P01,9.9
37,-0.0729,14.5113,0.12168,boys,P01,10
38,-0.0769,14.6791,0.1222,boys,P01,10.1
39,-0.0808,14.8466,0.12271,boys,P01,10.2
